9	0	softbank126006034204.bbtec.net	126.6.34.204	http://search.yahoo.co.jp/search?p=%E3%82%86%E3%81%9A%E3%82%8A%E8%91%89++%EF%BE%98%EF%BD%BB%EF%BD%B2%EF%BD%B8%EF%BE%99&search.x=1&fr=top_ga1_sa&tid=top_ga1_sa&ei=UTF-8&aq=7&oq=	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
9	2	wtp-g4-maya9.sjdc	150.70.75.163		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
23	2	119.63.196.28	119.63.196.28		Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
23	2	119.63.196.124	119.63.196.124		Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
