2	31	119.63.196.31	119.63.196.31		Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
2	31	119.63.196.29	119.63.196.29		Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)
8	23	61-23-166-73.rev.home.ne.jp	61.23.166.73		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
12	28	125.206.115.23	125.206.115.23		Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
17	54	crawl-66-249-74-199.googlebot.com	66.249.74.199		SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)
21	48	fl1-119-241-239-39.chb.mesh.ad.jp	119.241.239.39		Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; BTRS122327; GTB7.4; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET4.0C; .NET CLR 3.0.30729)
21	55	wtp-g4-maya9.sjdc	150.70.75.163		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
