2	22	msnbot-157-56-93-150.search.msn.com	157.56.93.150		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
7	24	softbank126006034204.bbtec.net	126.6.34.204		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
7	25	crawl-66-249-74-199.googlebot.com	66.249.74.199		Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
7	27	wtp-g9-maya3.iad1	150.70.172.234		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
9	46	46.165.197.151	46.165.197.151		Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)
11	16	pl561.nas93a.p-chiba.nttpc.ne.jp	111.89.247.49	http://search.yahoo.co.jp/search?p=%E3%82%86%E3%81%9A%E3%82%8A%E3%81%AF%E3%80%80%EF%BE%98%EF%BD%BB%EF%BD%B2%EF%BD%B8%EF%BE%99&search.x=1&fr=top_ga1_sa&tid=top_ga1_sa&ei=UTF-8&aq=&oq=	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
11	16	pl561.nas93a.p-chiba.nttpc.ne.jp	111.89.247.49		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
12	38	pl561.nas93a.p-chiba.nttpc.ne.jp	111.89.247.49	http://search.yahoo.co.jp/search?p=risaikuru%E3%80%80%E3%82%86%E3%81%9A%E3%82%8A%E3%81%AF&aq=-1&oq=&ei=UTF-8&fr=top_ga1_sa&x=wrt	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
