4	37	69.58.178.56	69.58.178.56		Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1
10	38	crawl-119-235-237-17.naver.jp	119.235.237.17		Yeti/1.0 (NHN Corp.; http://help.naver.com/robots/)
13	59	msnbot-157-55-33-19.search.msn.com	157.55.33.19		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
