1	24	msnbot-157-55-32-96.search.msn.com	157.55.32.96		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
3	7	173.199.116.19.choopa.net	173.199.116.19		Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)
8	11	173.242.125.196	173.242.125.196		Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)
13	36	pl561.nas93a.p-chiba.nttpc.ne.jp	111.89.247.49		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
13	40	wtp-g4-maya9.sjdc	150.70.75.163		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
14	5	msnbot-157-55-32-116.search.msn.com	157.55.32.116		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
15	0	219.166.50.157	219.166.50.157	http://cgi.search.biglobe.ne.jp/cgi-bin/search_bl_top?q=ASA+%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB&sub=%E6%A4%9C%E7%B4%A2&ie=utf8&num=10&start=0	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
21	29	softbank126006034204.bbtec.net	126.6.34.204	http://search.yahoo.co.jp/search?p=%E3%82%86%E3%81%9A%E3%82%8A%E8%91%89+%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB&x=wrt&aq=-1&oq=&lq=&clone=&ei=UTF-8&fr=applep2&shq=98	Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A405 Safari/8536.25
23	3	msnbot-157-55-32-116.search.msn.com	157.55.32.116		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
