4	59	msnbot-65-55-213-67.search.msn.com	65.55.213.67		msnbot/2.0b (+http://search.msn.com/msnbot.htm)
12	27	crawl-66-249-74-199.googlebot.com	66.249.74.199		Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
13	12	s819043.xgsspn.imtp.tachikawa.spmode.ne.jp	1.79.19.43	http://www.google.co.jp/search?hl=ja&redir_esc=&client=ms-android-pmc&source=android-search-app&v=133247963&qsubts=1353211915630&action=devloc&q=%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%82%86%E3%81%9A%E3%82%8A%E8%91%89&v=133247963	Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; P-07C Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1
15	8	s840133.xgsspn.imtp.tachikawa.spmode.ne.jp	1.78.40.133		Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; SonyEricssonSO-02C Build/4.0.1.C.1.24) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1
19	13	msnbot-157-55-33-50.search.msn.com	157.55.33.50		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
20	1	s819043.xgsspn.imtp.tachikawa.spmode.ne.jp	1.79.19.43	http://www.google.co.jp/search?hl=ja&redir_esc=&client=ms-android-pmc&source=android-search-app&v=133247963&qsubts=1353236469764&q=%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%E3%82%86%E3%81%9A%E3%82%8A%E8%91%89&v=133247963	Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; P-07C Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1
