2	35	msnbot-65-55-213-67.search.msn.com	65.55.213.67		msnbot/2.0b (+http://search.msn.com/msnbot.htm)
7	3	msnbot-65-55-55-230.search.msn.com	65.55.55.230		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
10	23	pa90325.chibnt01.ap.so-net.ne.jp	182.169.3.37		Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Win64; x64; Trident/4.0; .NET CLR 2.0.50727; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MAEM; .NET4.0C; Tablet PC 2.0)
11	42	pl561.nas93a.p-chiba.nttpc.ne.jp	111.89.247.49	http://www.asa-kashiwa.net/remisecart1/main.cgi?mode=cart&sid=1	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
11	43	hosted-by.leaseweb.com	85.17.29.107		Mozilla/5.0 (compatible; WBSearchBot/1.1; +http://www.warebay.com/bot.html)
13	50	125.206.115.23	125.206.115.23		SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)
14	20	wtp-g4-maya9.sjdc	150.70.75.163		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
17	26	softbank126006034204.bbtec.net	126.6.34.204		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
17	29	wtp-g9-maya1.iad1	150.70.172.232		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
20	35	secgwf.plala.or.jp	60.43.59.132		Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
