0	35	74.125.16.91	74.125.16.91		Mozilla/5.0 (en-us) AppleWebKit/534.14 (KHTML, like Gecko; Google Wireless Transcoder) Chrome/9.0.597 Safari/534.14
1	11	ai126250015198.11.tss.access-internet.ne.jp	126.250.15.198	http://search.yahoo.co.jp/search?p=%E3%82%86%E3%81%9A%E3%82%8A%E8%91%89+%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB&x=wrt&aq=-1&oq=&lq=&clone=&ei=UTF-8&fr=applep2	Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A405 Safari/8536.25
2	57	crawl-66-249-74-199.googlebot.com	66.249.74.199		Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
9	55	pl085.nas936.p-chiba.nttpc.ne.jp	210.136.88.85	http://www.asa-kashiwa.net/	Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1
11	3	pl085.nas936.p-chiba.nttpc.ne.jp	210.136.88.85	http://www.asa-kashiwa.net/	Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1
11	26	ai126248007020.9.tss.access-internet.ne.jp	126.248.7.20	http://search.yahoo.co.jp/search?p=%E3%82%86%E3%81%9A%E3%82%8A%E8%91%89+%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB&x=wrt&aq=-1&oq=&lq=&clone=&ei=UTF-8&fr=applep1&shq=98	Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A405 Safari/8536.25
16	1	nsniigwtmp00.index.or.jp	103.9.180.64		Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3
18	59	softbank126006034204.bbtec.net	126.6.34.204	http://search.yahoo.co.jp/search?p=%E3%82%86%E3%81%9A%E3%82%8A%E8%91%89++%E3%83%AA%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB&x=wrt&aq=-1&oq=&lq=&clone=&ei=UTF-8&fr=applep2	Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A405 Safari/8536.25
23	10	wtp-g4-maya9.sjdc	150.70.75.163		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
