1	17	softbank219016152130.bbtec.net	219.16.152.130		Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2
10	33	pl561.nas93a.p-chiba.nttpc.ne.jp	111.89.247.49	http://search.yahoo.co.jp/search?p=%E3%82%86%E3%81%9A%E3%82%8A%E3%81%AF%E3%80%80%EF%BE%98%EF%BD%BB%EF%BD%B2%EF%BD%B8%EF%BE%99&search.x=1&fr=top_ga1_sa&tid=top_ga1_sa&ei=UTF-8&aq=&oq=	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
10	35	wtp-g4-maya9.sjdc	150.70.75.163		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
15	39	p3234-ipbf5906marunouchi.tokyo.ocn.ne.jp	114.145.22.234	http://www.asa-kashiwa.net/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618; .NET4.0C; YTB730)
15	43	wtp-g9-maya5.iad1	150.70.172.236		Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
21	29	msnbot-157-55-32-116.search.msn.com	157.55.32.116		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
21	29	msnbot-157-55-32-116.search.msn.com	157.55.32.116		Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
